地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,38240,40526,37665,35905,34142.89,32140,27497,22633,18833,18553
天津市,15572,16182,16172,15380,16054.64,15331,12830,10107,9219,8746
河北省,8021,8239,8212,7834,7682.82,7203,6438,5759,5131,4897
山西省,6713,6775,7023,6896,6822.03,5619,4984,4870,4734,4433
内蒙古自治区,6288,6535,6674,6194,5548.42,4628,4546,4441,4333,4301
辽宁省,8315,8930,8993,8249,7541.64,6681,6080,5758,5373,5122
吉林省,6955,7030,7544,7452,7001.49,6021,5364,5476,5112,4483
黑龙江省,6152,6365,7121,7529,6900.88,6471,5295,5144,4882,4738
上海市,40302,36102,33798,30677,26890.08,23804,24747,20949,16787,16420
江苏省,12226,12906,12581,11637,10773.54,9195,8805,7356,7006,6909
浙江省,18576,19070,16726,15304,14443,12855,11121,10525,10526,11042
安徽省,7637,7784,7705,7393,7049.86,6375,5924,5457,5394,5080
福建省,10771,11779,11348,10748,10589.18,9746,9218,8881,9136,9050
江西省,7318,7678,7757,7293,6805.49,6150,5709,5358,5288,5203
山东省,8393,8517,8338,8070,7481.16,6319,5855,5560,5315,5049
河南省,6133,6521,6641,6311,5757.69,5355,4964,4611,4366,4205
湖北省,8553,9130,9241,9012,8495.27,7675,6724,5863,5513,5266
湖南省,6372,6574,6302,6127,5794.89,5228,4640,4304,4227,4243
广东省,14985,15930,15141,14262,13073.18,11776,11097,9796,9083,9090
广西壮族自治区,5473,5944,6318,6505,6158.97,5834,5237,4960,4854,4593
海南省,17050,17541,16394,15383,14545.63,11837,9878,9339,9315,8669
重庆市,7132,8699,8255,8402,8066.86,6792,5485,5486,5519,5569
四川省,8153,7885,7840,7448,6987.58,6217,5762,5475,5597,5498
贵州省,5799,5807,5807,5980,5636.77,4771,4307,4415,4312,4295
云南省,6804,7634,8173,7954,7517.49,5919,5269,5300,4998,4494
西藏自治区,8510,8645,9000,7578,7201.55,6626,5112,4111,5774,4174
陕西省,9884,9733,9828,8998,8273.4,6840,5471,5362,5166,5280
甘肃省,5682,6047,6572,5977,5780.33,5709,5201,4913,4544,3886
青海省,7093,7623,8160,7643,6471.72,6001,5400,5242,5081,4163
宁夏回族自治区,7016,6655,6375,5685,5043.61,4544,4241,4413,4117,4232
新疆维吾尔自治区,5827,5740,5835,5999,5944.38,4965,4632,4653,4628,4268
